certification_id,product_id,certification_status,expiry_date,authority,notes
1,1,certified,2028-02-24,WHO,Product contains compliant consumer labeling and valid certification documentation.
2,2,certified,2027-01-31,ISO,Product contains compliant consumer labeling and valid certification documentation.
3,3,expired,2028-09-10,FDA,"Product labeling present, but expired certification creates regulatory compliance concern."
4,4,certified,2028-11-12,ISO,Product contains compliant consumer labeling and valid certification documentation.
5,5,certified,2029-03-04,WHO,Certification active and supported by compliant packaging and traceability documentation.
6,6,certified,2027-07-14,Local Regulatory Authority,Product meets retail compliance standards with visible certification and safety information.
7,7,certified,2028-10-16,WHO,Certification active and supported by compliant packaging and traceability documentation.
8,8,certified,2026-12-18,TBS,Certification verified with approved authority records and complete manufacturer labeling.
9,9,certified,2028-06-23,FDA,Product meets retail compliance standards with visible certification and safety information.
10,10,certified,2028-04-13,Pharmaceutical Board,Product contains compliant consumer labeling and valid certification documentation.
11,11,certified,2029-03-31,FDA,Certification verified with approved authority records and complete manufacturer labeling.
12,12,certified,2027-09-16,ISO,Product meets retail compliance standards with visible certification and safety information.
13,13,certified,2026-10-23,FDA,Certification active and supported by compliant packaging and traceability documentation.
14,14,non-compliant,2028-03-12,WHO,Product failed to meet required certification standards during compliance review.
15,15,certified,2027-08-02,TBS,Product meets retail compliance standards with visible certification and safety information.
16,16,certified,2027-01-10,Pharmaceutical Board,Product contains compliant consumer labeling and valid certification documentation.
17,17,certified,2028-07-11,TBS,Certification active and supported by compliant packaging and traceability documentation.
18,18,certified,2028-03-13,ISO,Certification verified with approved authority records and complete manufacturer labeling.
19,19,certified,2026-10-08,ISO,Certification active and supported by compliant packaging and traceability documentation.
20,20,certified,2028-09-06,WHO,Certification active and supported by compliant packaging and traceability documentation.
21,21,certified,2028-01-09,WHO,Certification active and supported by compliant packaging and traceability documentation.
22,22,certified,2027-09-30,WHO,Certification active and supported by compliant packaging and traceability documentation.
23,23,non-compliant,2028-08-14,Pharmaceutical Board,Certification review detected missing or inconsistent compliance information.
24,24,certified,2026-05-12,Local Regulatory Authority,Product contains compliant consumer labeling and valid certification documentation.
25,25,certified,2028-10-31,WHO,Product contains compliant consumer labeling and valid certification documentation.
26,26,non-compliant,2026-08-30,Pharmaceutical Board,Certification review detected missing or inconsistent compliance information.
27,27,certified,2028-09-05,WHO,Product meets retail compliance standards with visible certification and safety information.
28,28,certified,2028-01-11,TBS,Certification active and supported by compliant packaging and traceability documentation.
29,29,certified,2026-09-01,Local Regulatory Authority,Product meets retail compliance standards with visible certification and safety information.
30,30,certified,2028-07-25,Pharmaceutical Board,Product meets retail compliance standards with visible certification and safety information.
31,31,certified,2028-10-30,FDA,Product contains compliant consumer labeling and valid certification documentation.
32,32,certified,2028-01-22,FDA,Certification active and supported by compliant packaging and traceability documentation.
33,33,certified,2026-11-29,Pharmaceutical Board,Certification verified with approved authority records and complete manufacturer labeling.
34,34,certified,2028-03-07,WHO,Certification verified with approved authority records and complete manufacturer labeling.
35,35,certified,2026-05-26,FDA,Certification verified with approved authority records and complete manufacturer labeling.
