inspection_id,product_id,inspection_date,result,failure_reason,notes
1,1,2025-07-15,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
2,1,2025-11-14,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
3,2,2025-11-22,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
4,3,2025-08-29,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
5,4,2025-12-01,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
6,4,2025-09-09,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
7,5,2026-01-20,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
8,5,2026-01-19,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
9,6,2025-10-11,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
10,6,2026-02-20,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
11,7,2025-12-25,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
12,7,2025-10-17,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
13,7,2026-04-01,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
14,8,2025-09-02,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
15,8,2026-04-24,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
16,8,2025-08-22,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
17,9,2025-05-12,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
18,9,2026-04-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
19,9,2025-10-03,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
20,10,2026-02-04,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
21,10,2025-09-21,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
22,11,2026-04-14,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
23,11,2025-07-22,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
24,11,2026-02-24,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
25,12,2025-06-26,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
26,12,2026-04-01,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
27,13,2025-06-16,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
28,13,2025-08-14,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
29,14,2026-03-15,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
30,14,2025-12-14,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
31,14,2026-03-05,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
32,15,2025-10-23,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
33,15,2025-07-31,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
34,15,2025-05-28,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
35,16,2025-09-23,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
36,17,2025-07-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
37,18,2025-10-03,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
38,18,2026-01-28,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
39,19,2025-11-20,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
40,19,2026-03-07,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
41,20,2025-09-04,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
42,21,2025-11-20,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
43,21,2025-11-01,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
44,21,2025-12-25,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
45,22,2026-03-14,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
46,22,2026-01-19,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
47,22,2025-08-07,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
48,23,2026-04-21,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
49,24,2025-07-21,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
50,24,2025-09-16,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
51,25,2025-09-21,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
52,25,2025-10-11,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
53,26,2026-02-14,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
54,26,2025-07-23,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
55,27,2025-06-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
56,28,2025-06-23,fail,Expired product,Expiry date had passed while product remained available for consumer purchase.
57,28,2026-02-17,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
58,28,2025-08-02,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
59,29,2026-03-28,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
60,29,2025-11-25,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
61,29,2026-05-06,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
62,30,2025-07-05,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
63,31,2025-05-17,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
64,31,2025-08-11,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
65,32,2025-10-28,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
66,33,2026-03-26,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
67,33,2025-07-25,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
68,33,2026-02-22,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
69,34,2025-07-20,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
70,34,2025-11-08,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
71,35,2025-11-09,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
72,35,2025-09-01,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
73,36,2025-11-18,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
74,36,2025-12-16,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
75,36,2026-03-12,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
76,37,2026-03-03,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
77,38,2025-09-27,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
78,38,2026-01-03,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
79,38,2026-02-01,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
80,39,2025-12-17,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
81,39,2025-09-04,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
82,40,2025-12-25,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
83,40,2025-09-02,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
84,41,2026-02-23,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
85,42,2025-06-17,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
86,42,2025-08-20,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
87,42,2025-08-17,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
88,43,2025-10-01,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
89,43,2025-06-12,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
90,44,2025-08-08,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
91,45,2025-11-07,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
92,45,2026-03-07,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
93,45,2026-03-05,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
94,46,2026-01-21,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
95,46,2026-03-07,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
96,46,2025-08-17,fail,Expired product,Expiry date had passed while product remained available for consumer purchase.
97,47,2025-07-14,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
98,47,2026-04-09,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
99,48,2025-09-01,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
100,49,2026-01-02,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
101,50,2026-05-03,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
102,51,2025-11-20,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
103,52,2025-12-01,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
104,53,2025-09-05,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
105,53,2026-01-30,fail,Expired product,Expiry date had passed while product remained available for consumer purchase.
106,54,2025-10-21,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
107,54,2026-01-06,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
108,55,2026-01-04,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
109,56,2026-02-11,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
110,57,2025-12-09,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
111,57,2026-02-21,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
112,58,2026-05-04,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
113,58,2025-10-21,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
114,59,2025-05-25,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
115,59,2025-06-15,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
116,60,2025-09-24,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
117,60,2026-01-23,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
118,60,2025-09-23,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
119,61,2026-03-25,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
120,61,2025-12-24,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
121,62,2025-10-10,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
