recall_id,product_id,recall_date,reason,severity,description
1,7,2025-11-27,Packaging defect,high,Dosage labeling inconsistency detected during pharmaceutical review.
2,8,2025-11-19,Labeling issue,medium,Packaging print quality issue identified in shipment review.
3,10,2025-08-04,Barcode issue,medium,User manual information missing in selected packaged units.
4,14,2026-04-27,Minor compliance issue,medium,External packaging defects reported during warehouse checks.
5,20,2025-06-12,Minor compliance issue,medium,Packaging print quality issue identified in shipment review.
6,22,2025-07-23,Contamination risk,high,Microbial contamination risk identified during testing.
7,26,2026-02-25,Barcode issue,medium,Barcode printing issue identified on distributed stock.
8,28,2026-02-24,Minor compliance issue,medium,External packaging defects reported during warehouse checks.
9,28,2025-06-08,Product quality failure,high,Battery safety issue reported during compliance inspection.
10,33,2025-05-27,Product quality failure,high,Possible microbial contamination identified in beverage batches.
11,33,2026-01-03,Product quality failure,high,Packaging leakage may compromise drink quality and safety.
12,35,2025-10-21,Packaging defect,high,Overheating risk identified in electrical component testing.
13,35,2025-09-25,Minor compliance issue,medium,User manual information missing in selected packaged units.
14,36,2026-04-20,Packaging inconsistency,medium,Minor packaging seal defects identified during inspection.
15,43,2026-04-11,Labeling issue,medium,Packaging label partially damaged during transport.
16,46,2025-07-18,Barcode issue,medium,Packaging barcode issue detected during stock review.
17,47,2025-10-03,Product quality failure,high,Temperature control failure may impact dairy product safety.
18,53,2025-11-03,Packaging inconsistency,medium,User manual information missing in selected packaged units.
19,54,2026-04-27,Packaging defect,high,Chemical leakage detected in multiple packaged units.
20,59,2025-07-04,Minor compliance issue,medium,Container labeling inconsistency identified during audit.
21,63,2025-12-15,Packaging inconsistency,medium,Regulatory labeling update required for compliance.
22,64,2025-05-12,Safety compliance issue,high,Improper sealing detected during post-distribution inspection.
23,75,2025-06-17,Packaging inconsistency,medium,Regulatory labeling update required for compliance.
24,75,2025-07-23,Safety compliance issue,high,Potential contamination risk identified in medicinal batches.
25,82,2026-01-15,Product quality failure,high,Leakage observed in distributed cooking oil containers.
26,87,2025-08-02,Labeling issue,medium,Minor labeling inconsistencies observed during inspection.
27,90,2025-11-19,Barcode issue,medium,Label alignment issue observed on retail packaging.
28,91,2025-08-10,Product quality failure,high,Unsafe storage conditions may affect product safety and freshness.
29,94,2025-12-06,Product quality failure,high,Leakage observed in distributed cooking oil containers.
30,108,2026-04-01,Product quality failure,high,Dosage labeling inconsistency detected during pharmaceutical review.
31,113,2026-04-19,Minor compliance issue,medium,Minor packaging seal defects identified during inspection.
32,126,2025-10-20,Contamination risk,high,Faulty internal wiring may create operational hazards.
33,132,2025-06-18,Contamination risk,high,Microbial contamination risk identified during testing.
34,134,2025-08-14,Safety compliance issue,high,Battery safety issue reported during compliance inspection.
35,145,2026-02-28,Packaging defect,high,Unsafe storage conditions may affect product safety and freshness.
36,147,2025-09-20,Product quality failure,high,Container seal defects may cause product leakage.
37,149,2026-04-18,Safety compliance issue,high,Packaging defects may affect product hygiene standards.
38,156,2025-08-19,Labeling issue,medium,Packaging print quality issue identified in shipment review.
39,157,2025-07-24,Product quality failure,high,Leakage observed in distributed cooking oil containers.
40,161,2026-01-28,Minor compliance issue,medium,Label alignment issue observed on retail packaging.
41,162,2025-08-30,Labeling issue,medium,Container labeling inconsistency identified during audit.
42,163,2025-11-08,Product quality failure,high,Microbial contamination risk identified during testing.
43,165,2025-12-12,Barcode issue,medium,Batch information formatting issue detected on medicine packaging.
44,166,2026-02-21,Packaging defect,high,Temperature control failure may impact dairy product safety.
45,168,2025-05-29,Safety compliance issue,high,Leakage observed in distributed cooking oil containers.
46,182,2025-07-10,Contamination risk,high,Product oxidation concerns raised during laboratory inspection.
47,183,2025-11-24,Contamination risk,high,Chemical leakage detected in multiple packaged units.
48,194,2025-10-14,Safety compliance issue,high,Overheating risk identified in electrical component testing.
49,195,2025-11-04,Labeling issue,medium,Minor labeling inconsistencies observed during inspection.
50,197,2025-12-27,Contamination risk,high,Contamination risk identified during refinery quality checks.
51,199,2025-09-17,Safety compliance issue,high,Improper sealing detected during post-distribution inspection.
52,203,2026-04-27,Minor compliance issue,medium,Storage instruction text partially unreadable on packaging.
53,204,2025-09-24,Labeling issue,medium,Packaging barcode issue detected during stock review.
54,210,2025-09-04,Barcode issue,medium,External packaging defects reported during warehouse checks.
55,213,2025-09-10,Product quality failure,high,Possible microbial contamination identified in beverage batches.
56,218,2025-11-17,Minor compliance issue,medium,External packaging defects reported during warehouse checks.
57,227,2025-05-11,Contamination risk,high,Potential contamination risk identified in medicinal batches.
58,238,2026-04-27,Packaging inconsistency,medium,User manual information missing in selected packaged units.
59,238,2025-08-06,Labeling issue,medium,External packaging defects reported during warehouse checks.
60,238,2026-02-15,Packaging defect,high,Overheating risk identified in electrical component testing.
61,239,2025-05-23,Minor compliance issue,medium,Minor packaging defects observed in dairy product units.
62,240,2025-05-12,Minor compliance issue,medium,Packaging label partially damaged during transport.
63,243,2025-11-17,Product quality failure,high,Improper sealing detected during post-distribution inspection.
64,248,2025-07-26,Barcode issue,medium,Barcode readability issue reported in selected batches.
65,257,2026-02-10,Barcode issue,medium,Packaging label partially damaged during transport.
66,257,2025-08-15,Minor compliance issue,medium,Packaging label partially damaged during transport.
67,257,2025-07-14,Packaging defect,high,Chemical leakage detected in multiple packaged units.
68,258,2025-11-30,Product quality failure,high,Product recall initiated due to suspected bacterial contamination.
69,265,2026-02-24,Safety compliance issue,high,Allergen declaration missing from personal care packaging.
70,267,2026-03-19,Contamination risk,high,Product oxidation concerns raised during laboratory inspection.
71,268,2025-10-12,Packaging defect,high,Improper labeling of hazardous handling instructions observed.
72,268,2025-07-26,Packaging defect,high,Container seal defects may cause product leakage.
73,270,2025-06-19,Barcode issue,medium,Minor packaging defects observed in dairy product units.
74,275,2026-02-18,Minor compliance issue,medium,Minor labeling inconsistencies observed during inspection.
75,275,2025-11-28,Product quality failure,high,Potential contamination risk detected during routine quality inspection.
